views,likes,set_id,iid1,iid2,iid3,iid4,iid5,iid6,iid7,iid8,color_1,color_2,color_3,color_4
188,9,120161271,21,237,49,106,106,106,106,106,white,black,none,none
562,32,143656996,104,25,237,261,37,55,0,0,white,black,blue,none
2613,88,186627934,11,28,2,65,52,200,186,76,black,red,yellow,none
62,3,206969379,11,236,9,261,64,62,1967,200,black,red,blue,yellow
276,83,201969694,11,241,47,37,62,196,0,0,white,black,blue,none
1580,395,216470135,19,9,41,38,62,140,4438,0,gray,black,blue,brown
591,233,216220312,19,8,47,38,106,222,0,0,black,red,yellow,none
1142,239,185225843,4,17,24,43,318,105,0,0,black,red,gray,none
24915,492,213824660,11,24,237,261,58,188,171,37,brown,red,blue,gray
55501,3979,118117317,4,18,46,37,62,4428,52,58,black,yellow,none,none
1005,287,196794889,4,46,37,61,106,65,1967,0,black,gray,none,none
1122,153,192203629,18,21,237,47,318,62,0,0,white,black,blue,yellow
139,11,194797482,5,43,38,64,200,95,0,0,white,red,none,none
2915,896,211763424,19,310,261,38,318,4426,188,222,yellow,none,none,none
566,146,162246887,17,8,261,37,55,0,0,0,black,none,none,none
1218,328,215293689,5,25,2,261,38,62,200,0,black,red,none,none
1341,212,152669888,21,25,240,49,37,4438,2,67,black,none,none,none
404,139,215196328,4495,25,237,41,259,55,0,0,black,gray,none,none
2939,977,212866780,5,24,43,36,65,64,95,74,white,red,yellow,none
438,116,215963491,4,25,41,318,105,4428,196,200,black,brown,none,none
2896,789,212745062,4,43,43,38,65,64,95,0,white,black,gray,yellow
370,57,158068564,9,7,9,9,0,0,0,0,black,blue,green,none
554,59,186569522,4,241,261,259,65,197,199,0,black,red,none,none
956,194,215224271,19,19,19,27,46,37,64,57,white,black,gray,none
1250,432,206144854,11,7,50,37,106,0,0,0,black,none,none,none
118,26,214333201,5,46,318,1967,58,186,189,200,white,red,blue,green
109,14,199683429,19,25,28,261,0,0,0,0,black,none,none,none
119,32,216661833,5,46,38,65,200,0,0,0,red,yellow,none,none
3732,390,214478843,19,25,28,261,36,188,93,0,black,none,none,none
1820,632,167870137,21,29,46,37,201,0,0,0,white,black,blue,none
94,34,212749574,5,46,65,64,0,0,0,0,black,blue,gray,none
870,366,216527510,4,38,62,106,0,0,0,0,black,red,gray,none
398,309,216890354,4,46,38,65,64,198,4441,0,white,black,blue,yellow
298,69,214964957,42,36,229,3336,316,25,2,95,black,none,none,none
220,3,104793371,21,28,49,64,106,55,110,0,black,red,gray,yellow
129,54,216960118,196,259,21,24,310,261,0,0,black,brown,blue,none
258,11,132440126,18,104,29,261,37,64,65,55,white,red,none,none
417,71,196207399,57,62,11,9,46,0,0,0,black,none,none,none
851,118,191351163,11,25,237,46,37,64,303,0,black,none,none,none
893,31,132081114,40,275,283,297,300,95,316,1967,black,brown,white,blue
7,8,205802546,25,237,2,65,196,200,261,227,black,red,none,none
27,27,216725521,18,11,237,43,197,199,182,0,black,green,brown,none
